规范,条文,条文内容
GB50016-2014(2018年版),3.2.18,除本规范另有规定外，以木柱承重且墙体采用不燃材料的厂房(仓库)，其耐火等级可按四级确定。
GB50016-2014(2018年版),3.2.19,预制钢筋混凝土构件的节点外露部位，应采取防火保护措施，且节点的耐火极限不应低于相应构件的耐火极限。
GB50016-2014(2018年版),3.3.3,厂房内设置自动灭火系统时，每个防火分区的最大允许建筑面积可按本规范第3.3.1条的规定增加1.0倍。当丁、戊类的地上厂房内设置自动灭火系统时，每个防火分区的最大允许建筑面积不限。厂房内局部设置自动灭火系统时，其防火分区的增加面积可按该局部面积的1.0倍计算。仓库内设置自动灭火系统时，除冷库的防火分区外，每座仓库的最大允许占地面积和每个防火分区的最大允许建筑面积可按本规范第3.3.2条的规定增加1.0倍。
GB50016-2014(2018年版),3.3.4,甲、乙类生产场所(仓库)不应设置在地下或半地下。
GB50016-2014(2018年版),3.3.5,员工宿舍严禁设置在厂房内。办公室、休息室等不应设置在甲、乙类厂房内，确需贴邻本厂房时，其耐火等级不应低于二级，并应采用耐火极限不低于3.00h的防爆墙与厂房分隔。且应设置独立的安全出口。办公室、休息室设置在丙类厂房内时，应采用耐火极限不低于2.50h的防火隔墙和1.00h的楼板与其他部位分隔，并应至少设置1个独立的安全出口。如隔墙上需开设相互连通的门时，应采用乙级防火门。
GB50016-2014(2018年版),3.3.6-1,厂房内设置中间仓库时，应符合下列规定：甲、乙类中间仓库应靠外墙布置，其储量不宜超过1昼夜的需要量；
GB50016-2014(2018年版),3.3.6-2,厂房内设置中间仓库时，应符合下列规定：甲、乙、丙类中间仓库应采用防火墙和耐火极限不低于1.50h的不燃性楼板与其他部位分隔；
GB50016-2014(2018年版),3.3.6-3,厂房内设置中间仓库时，应符合下列规定：丁、戊类中间仓库应采用耐火极限不低于2.00h的防火隔墙和1.00h的楼板与其他部位分隔；
GB50016-2014(2018年版),3.3.6-4,厂房内设置中间仓库时，应符合下列规定：仓库的耐火等级和面积应符合本规范第3.3.2条和第3.3.3条的规定。
GB50016-2014(2018年版),3.3.7,厂房内的丙类液体中间储罐应设置在单独房间内，其容量不应大于5m3。设置中间储罐的房间，应采用耐火极限不低于3.00h的防火隔墙和1.50h的楼板与其他部位分隔，房间门应采用甲级防火门。
GB50016-2014(2018年版),3.3.8,变、配电站不应设置在甲、乙类厂房内或贴邻，且不应设置在爆炸性气体、粉尘环境的危险区域内。供甲、乙类厂房专用的10kV及以下的变、配电站，当采用无门、窗、洞口的防火墙分隔时，可一面贴邻，并应符合现行国家标准《爆炸危险环境电力装置设计规范》GB?50058等标准的规定。乙类厂房的配电站确需在防火墙上开窗时，应采用甲级防火窗。
GB50016-2014(2018年版),3.3.9,员工宿舍严禁设置在仓库内。办公室、休息室等严禁设置在甲、乙类仓库内，也不应贴邻。办公室、休息室设置在丙、丁类仓库内时，应采用耐火极限不低于2.50h的防火隔墙和1.00h的楼板与其他部位分隔，并应设置独立的安全出口。隔墙上需开设相互连通的门时，应采用乙级防火门。
GB50016-2014(2018年版),3.3.10-1,物流建筑的防火设计应符合下列规定：当建筑功能以分拣、加工等作业为主时，应按本规范有关厂房的规定确定，其中仓储部分应按中间仓库确定。
GB50016-2014(2018年版),3.3.10-2-1,物流建筑的防火设计应符合下列规定：当建筑功能以仓储为主或建筑难以区分主要功能时，应按本规范有关仓库的规定确定，但当分拣等作业区采用防火墙与储存区完全分隔时，作业区和储存区的防火要求可分别按本规范有关厂房和仓库的规定确定。其中，当分拣等作业区采用防火墙与储存区完全分隔且符合下列条件时，除自动化控制的丙类高架仓库外，储存区的防火分区最大允许建筑面积和储存区部分建筑的最大允许占地面积，可按本规范表3.3.2(不含注)的规定增加3.0倍：储存除可燃液体、棉、麻、丝、毛及其他纺织品、泡沫塑料等物品外的丙类物品且建筑的耐火等级不低于一级；
GB50016-2014(2018年版),3.3.10-2-2,物流建筑的防火设计应符合下列规定：当建筑功能以仓储为主或建筑难以区分主要功能时，应按本规范有关仓库的规定确定，但当分拣等作业区采用防火墙与储存区完全分隔时，作业区和储存区的防火要求可分别按本规范有关厂房和仓库的规定确定。其中，当分拣等作业区采用防火墙与储存区完全分隔且符合下列条件时，除自动化控制的丙类高架仓库外，储存区的防火分区最大允许建筑面积和储存区部分建筑的最大允许占地面积，可按本规范表3.3.2(不含注)的规定增加3.0倍：储存丁、戊类物品且建筑的耐火等级不低于二级；
GB50016-2014(2018年版),3.3.10-2-3,物流建筑的防火设计应符合下列规定：当建筑功能以仓储为主或建筑难以区分主要功能时，应按本规范有关仓库的规定确定，但当分拣等作业区采用防火墙与储存区完全分隔时，作业区和储存区的防火要求可分别按本规范有关厂房和仓库的规定确定。其中，当分拣等作业区采用防火墙与储存区完全分隔且符合下列条件时，除自动化控制的丙类高架仓库外，储存区的防火分区最大允许建筑面积和储存区部分建筑的最大允许占地面积，可按本规范表3.3.2(不含注)的规定增加3.0倍：建筑内全部设置自动水灭火系统和火灾自动报警系统。
GB50016-2014(2018年版),3.3.11,甲、乙类厂房(仓库)内不应设置铁路线。需要出入蒸汽机车和内燃机车的丙、丁、戊类厂房(仓库)，其屋顶应采用不燃材料或采取其他防火措施。
GB50016-2014(2018年版),3.4.2,甲类厂房与重要公共建筑的防火间距不应小于50m，与明火或散发火花地点的防火间距不应小于30m。
GB50016-2014(2018年版),3.4.4,高层厂房与甲、乙、丙类液体储罐，可燃、助燃气体储罐，液化石油气储罐，可燃材料堆场(除煤和焦炭场外)的防火间距，应符合本规范第4章的规定，且不应小于13m。
GB50016-2014(2018年版),3.4.5-1,丙、丁、戊类厂房与民用建筑的耐火等级均为一、二级时，丙、丁、戊类厂房与民用建筑的防火间距可适当减小，但应符合下列规定：当较高一面外墙为无门、窗、洞口的防火墙，或比相邻较低一座建筑屋面高15m及以下范围内的外墙为无门、窗、洞口的防火墙时，其防火间距不限；
GB50016-2014(2018年版),3.4.5-2,丙、丁、戊类厂房与民用建筑的耐火等级均为一、二级时，丙、丁、戊类厂房与民用建筑的防火间距可适当减小，但应符合下列规定：相邻较低一面外墙为防火墙，且屋顶无天窗或洞口、屋顶的耐火极限不低于1.00h，或相邻较高一面外墙为防火墙，且墙上开口部位采取了防火措施，其防火间距可适当减小，但不应小于4m。
GB50016-2014(2018年版),3.4.6,厂房外附设化学易燃物品的设备，其外壁与相邻厂房室外附设设备的外壁或相邻厂房外墙的防火间距，不应小于本规范第3.4.1条的规定。用不燃材料制作的室外设备，可按一、二级耐火等级建筑确定。总容量不大于15m3的丙类液体储罐，当直埋于厂房外墙外，且面向储罐一面4.0m范围内的外墙为防火墙时，其防火间距不限。
GB50016-2014(2018年版),3.4.7,同一座“U”形或“山”形厂房中相邻两翼之间的防火间距，不宜小于本规范第3.4.1条的规定，但当厂房的占地面积小于本规范第3.3.1条规定的每个防火分区最大允许建筑面积时，其防火间距可为6m。
GB50016-2014(2018年版),3.4.8,除高层厂房和甲类厂房外，其他类别的数座厂房占地面积之和小于本规范第3.3.1条规定的防火分区最大允许建筑面积(按其中较小者确定，但防火分区的最大允许建筑面积不限者，不应大于10000m2)时，可成组布置。当厂房建筑高度不大于7m时，组内厂房之间的防火间距不应小于4m；当厂房建筑高度大于7m时，组内厂房之间的防火间距不应小于6m。组与组或组与相邻建筑的防火间距，应根据相邻两座中耐火等级较低的建筑，按本规范第3.4.1条的规定确定。
GB50016-2014(2018年版),3.4.9,一级汽车加油站、一级汽车加气站和一级汽车加油加气合建站不应布置在城市建成区内。
GB50016-2014(2018年版),3.4.10,汽车加油、加气站和加油加气合建站的分级，汽车加油、加气站和加油加气合建站及其加油(气)机、储油(气)罐等与站外明火或散发火花地点、建筑、铁路、道路的防火间距以及站内各建筑或设施之间的防火间距，应符合现行国家标准《汽车加油加气站设计与施工规范》GB?50156的规定。
GB50016-2014(2018年版),3.4.11,电力系统电压为35kV～500kV且每台变压器容量不小于10MV·A的室外变、配电站以及工业企业的变压器总油量大于5t的室外降压变电站，与其他建筑的防火间距不应小于本规范第3.4.1条和第3.5.1条的规定。
GB50016-2014(2018年版),3.4.12,厂区围墙与厂区内建筑的间距不宜小于5m，围墙两侧建筑的间距应满足相应建筑的防火间距要求。
GB50016-2014(2018年版),3.5.5,库区围墙与库区内建筑的间距不宜小于5m，围墙两侧建筑的间距应满足相应建筑的防火间距要求。
GB50016-2014(2018年版),3.6.1,有爆炸危险的甲、乙类厂房宜独立设置，并宜采用敞开或半敞开式。其承重结构宜采用钢筋混凝土或钢框架、排架结构。
GB50016-2014(2018年版),3.6.2,有爆炸危险的厂房或厂房内有爆炸危险的部位应设置泄压设施。
GB50016-2014(2018年版),3.6.3,泄压设施宜采用轻质屋面板、轻质墙体和易于泄压的门、窗等，应采用安全玻璃等在爆炸时不产生尖锐碎片的材料。泄压设施的设置应避开人员密集场所和主要交通道路，并宜靠近有爆炸危险的部位。作为泄压设施的轻质屋面板和墙体的质量不宜大于60kg／m2。屋顶上的泄压设施应采取防冰雪积聚措施。
GB50016-2014(2018年版),3.6.5,散发较空气轻的可燃气体、可燃蒸气的甲类厂房，宜采用轻质屋面板作为泄压面积。顶棚应尽量平整、无死角，厂房上部空间应通风良好。
GB50016-2014(2018年版),3.6.6-1,散发较空气重的可燃气体、可燃蒸气的甲类厂房和有粉尘、纤维爆炸危险的乙类厂房。应符合下列规定：应采用不发火花的地面。采用绝缘材料作整体面层时，应采取防静电措施。
GB50016-2014(2018年版),3.6.6-2,散发较空气重的可燃气体、可燃蒸气的甲类厂房和有粉尘、纤维爆炸危险的乙类厂房。应符合下列规定：散发可燃粉尘、纤维的厂房，其内表面应平整、光滑，并易于清扫。
GB50016-2014(2018年版),3.6.6-3,散发较空气重的可燃气体、可燃蒸气的甲类厂房和有粉尘、纤维爆炸危险的乙类厂房。应符合下列规定：厂房内不宜设置地沟，确需设置时，其盖板应严密，地沟应采取防止可燃气体、可燃蒸气和粉尘、纤维在地沟积聚的有效措施，且应在与相邻厂房连通处采用防火材料密封。
GB50016-2014(2018年版),3.6.7,有爆炸危险的甲、乙类生产部位，宜布置在单层厂房靠外墙的泄压设施或多层厂房顶层靠外墙的泄压设施附近。有爆炸危险的设备宜避开厂房的梁、柱等主要承重构件布置。
GB50016-2014(2018年版),3.6.8,有爆炸危险的甲、乙类厂房的总控制室应独立设置。
GB50016-2014(2018年版),3.6.9,有爆炸危险的甲，乙类厂房的分控制室宜独立设置，当贴邻外墙设置时，应采用耐火极限不低于3.00h的防火隔墙与其他部位分隔。
GB50016-2014(2018年版),3.6.10,有爆炸危险区域内的楼梯间、室外楼梯或有爆炸危险的区域与相邻区域连通处，应设置门斗等防护措施。门斗的隔墙应为耐火极限不应低于2.00h的防火隔墙，门应采用甲级防火门并应与楼梯间的门错位设置。
GB50016-2014(2018年版),3.6.11,使用和生产甲、乙、丙类液体的厂房，其管、沟不应与相邻厂房的管、沟相通，下水道应设置隔油设施。
GB50016-2014(2018年版),3.6.12,甲、乙、丙类液体仓库应设置防止液体流散的设施。遇湿会发生燃烧爆炸的物品仓库应采取防止水浸渍的措施。
GB50016-2014(2018年版),3.6.13,有粉尘爆炸危险的筒仓，其顶部盖板应设置必要的泄压设施。粮食筒仓工作塔和上通廊的泄压面积应按本规范第3.6.4条的规定计算确定。有粉尘爆炸危险的其他粮食储存设施应采取防爆措施。
GB50016-2014(2018年版),3.6.14,有爆炸危险的仓库或仓库内有爆炸危险的部位，宜按本节规定采取防爆措施、设置泄压设施。
GB50016-2014(2018年版),3.7.1,厂房的安全出口应分散布置。每个防火分区或一个防火分区的每个楼层，其相邻2个安全出口最近边缘之间的水平距离不应小于5m。
GB50016-2014(2018年版),3.7.2-1,厂房内每个防火分区或一个防火分区内的每个楼层，其安全出口的数量应经计算确定，且不应少于2个；当符合下列条件时，可设置1个安全出口：甲类厂房，每层建筑面积不大于100m2。且同一时间的作业人数不超过5人；
GB50016-2014(2018年版),3.7.2-2,厂房内每个防火分区或一个防火分区内的每个楼层，其安全出口的数量应经计算确定，且不应少于2个；当符合下列条件时，可设置1个安全出口：乙类厂房，每层建筑面积不大于150m2，且同一时间的作业人数不超过10人；
GB50016-2014(2018年版),3.7.2-3,厂房内每个防火分区或一个防火分区内的每个楼层，其安全出口的数量应经计算确定，且不应少于2个；当符合下列条件时，可设置1个安全出口：丙类厂房，每层建筑面积不大于250m2，且同一时间的作业人数不超过20人；
GB50016-2014(2018年版),3.7.2-4,厂房内每个防火分区或一个防火分区内的每个楼层，其安全出口的数量应经计算确定，且不应少于2个；当符合下列条件时，可设置1个安全出口：丁、戊类厂房，每层建筑面积不大于400m2，且同一时间的作业人数不超过30人；
GB50016-2014(2018年版),3.7.2-5,厂房内每个防火分区或一个防火分区内的每个楼层，其安全出口的数量应经计算确定，且不应少于2个；当符合下列条件时，可设置1个安全出口：地下或半地下厂房(包括地下或半地下室)，每层建筑面积不大于50m2，且同一时间的作业人数不超过15人。
GB50016-2014(2018年版),3.7.3,地下或半地下厂房(包括地下或半地下室)，当有多个防火分区相邻布置，并采用防火墙分隔时，每个防火分区可利用防火墙上通向相邻防火分区的甲级防火门作为第二安全出口，但每个防火分区必须至少有1个直通室外的独立安全出口。
GB50016-2014(2018年版),3.7.6,高层厂房和甲、乙、丙类多层厂房的疏散楼梯应采用封闭楼梯间或室外楼梯。建筑高度大于32m且任一层人数超过10人的厂房，应采用防烟楼梯间或室外楼梯。
GB50016-2014(2018年版),3.8.1,仓库的安全出口应分散布置。每个防火分区或一个防火分区的每个楼层，其相邻2个安全出口最近边缘之间的水平距离不应小于5m。
GB50016-2014(2018年版),3.8.2,每座仓库的安全出口不应少于2个，当一座仓库的占地面积不大于300m2时，可设置1个安全出口。仓库内每个防火分区通向疏散走道、楼梯或室外的出口不宜少于2个，当防火分区的建筑面积不大于100m2时，可设置1个出口。通向疏散走道或楼梯的门应为乙级防火门。
GB50016-2014(2018年版),3.8.3,地下或半地下仓库(包括地下或半地下室)的安全出口不应少于2个；当建筑面积不大于100m2时，可设置1个安全出口。地下或半地下仓库(包括地下或半地下室)，当有多个防火分区相邻布置并采用防火墙分隔时，每个防火分区可利用防火墙上通向相邻防火分区的甲级防火门作为第二安全出口，但每个防火分区必须至少有1个直通室外的安全出口。
GB50016-2014(2018年版),3.8.4,冷库、粮食筒仓、金库的安全疏散设计应分别符合现行国家标准《冷库设计规范》GB?50072和《粮食钢板筒仓设计规范》GB?50322等标准的规定。
GB50016-2014(2018年版),3.8.5,粮食筒仓上层面积小于1000m2，且作业人数不超过2人时，可设置1个安全出口。
GB50016-2014(2018年版),3.8.6,仓库、筒仓中符合本规范第6.4.5条规定的室外金属梯，可作为疏散楼梯，但筒仓室外楼梯平台的耐火极限不应低于0.25h。
GB50016-2014(2018年版),3.8.7,高层仓库的疏散楼梯应采用封闭楼梯间。
GB50016-2014(2018年版),3.8.8,除一、二级耐火等级的多层戊类仓库外，其他仓库内供垂直运输物品的提升设施宜设置在仓库外，确需设置在仓库内时，应设置在井壁的耐火极限不低于2.00h的井筒内。室内外提升设施通向仓库的入口应设置乙级防火门或符合本规范第6.5.3条规定的防火卷帘。
GB50016-2014(2018年版),4.1.1,甲、乙、丙类液体储罐区，液化石油气储罐区，可燃、助燃气体储罐区和可燃材料堆场等，应布置在城市(区域)的边缘或相对独立的安全地带，并宜布置在城市(区域)全年最小频率风向的上风侧。甲、乙、丙类液体储罐(区)宜布置在地势较低的地带。当布置在地势较高的地带时，应采取安全防护设施。液化石油气储罐(区)宜布置在地势平坦、开阔等不易积存液化石油气的地带。
GB50016-2014(2018年版),4.1.2,桶装、瓶装甲类液体不应露天存放。
GB50016-2014(2018年版),4.1.3,液化石油气储罐组或储罐区的四周应设置高度不小于1.0m的不燃性实体防护墙。
GB50016-2014(2018年版),4.1.4,甲、乙、丙类液体储罐区，液化石油气储罐区，可燃、助燃气体储罐区和可燃材料堆场，应与装卸区、辅助生产区及办公区分开布置。
GB50016-2014(2018年版),4.1.5,甲、乙、丙类液体储罐，液化石油气储罐，可燃、助燃气体储罐和可燃材料堆垛，与架空电力线的最近水平距离应符合本规范第10.2.1条的规定。
GB50016-2014(2018年版),4.2.4,甲、乙、丙类液体的地上式、半地下式储罐区，其每个防火堤内宜布置火灾危险性类别相同或相近的储罐。沸溢性油品储罐不应与非沸溢性油品储罐布置在同一防火堤内。地上式、半地下式储罐不应与地下式储罐布置在同一防火堤内。
GB50016-2014(2018年版),4.2.5-1,甲、乙、丙类液体的地上式、半地下式储罐或储罐组，其四周应设置不燃性防火堤。防火堤的设置应符合下列规定：防火堤内的储罐布置不宜超过2排，单罐容量不大于1000m3且闪点大于120℃的液体储罐不宜超过4排。
GB50016-2014(2018年版),4.2.5-2,甲、乙、丙类液体的地上式、半地下式储罐或储罐组，其四周应设置不燃性防火堤。防火堤的设置应符合下列规定：防火堤的有效容量不应小于其中最大储罐的容量。对于浮顶罐，防火堤的有效容量可为其中最大储罐容量的一半。
GB50016-2014(2018年版),4.2.5-3,甲、乙、丙类液体的地上式、半地下式储罐或储罐组，其四周应设置不燃性防火堤。防火堤的设置应符合下列规定：防火堤内侧基脚线至立式储罐外壁的水平距离不应小于罐壁高度的一半。防火堤内侧基脚线至卧式储罐的水平距离不应小于3m。
GB50016-2014(2018年版),4.2.5-4,甲、乙、丙类液体的地上式、半地下式储罐或储罐组，其四周应设置不燃性防火堤。防火堤的设置应符合下列规定：防火堤的设计高度应比计算高度高出0.2m，且应为1.0m～2.2m，在防火堤的适当位置应设置便于灭火救援人员进出防火堤的踏步。
GB50016-2014(2018年版),4.2.5-5,甲、乙、丙类液体的地上式、半地下式储罐或储罐组，其四周应设置不燃性防火堤。防火堤的设置应符合下列规定：沸溢性油品的地上式、半地下式储罐。每个储罐均应设置一个防火堤或防火隔堤。
GB50016-2014(2018年版),4.2.5-6,甲、乙、丙类液体的地上式、半地下式储罐或储罐组，其四周应设置不燃性防火堤。防火堤的设置应符合下列规定：含油污水排水管应在防火堤的出口处设置水封设施，雨水排水管应设置阀门等封闭、隔离装置。
GB50016-2014(2018年版),4.2.6,甲类液体半露天堆场，乙、丙类液体桶装堆场和闪点大于120℃的液体储罐(区)，当采取了防止液体流散的设施时，可不设置防火堤。
GB50016-2014(2018年版),4.2.10,零位罐与所属铁路装卸线的距离不应小于6m。
GB50016-2014(2018年版),4.2.11,石油库的储罐(区)与建筑的防火间距，石油库内的储罐布置和防火间距以及储罐与泵房、装卸鹤管等库内建筑的防火间距，应符合现行国家标准《石油库设计规范》GB?50074的规定。
GB50016-2014(2018年版),4.3.4-1,液氧储罐与建筑物、储罐、堆场等的防火间距应符合本规范第4.3.3条相应容积湿式氧气储罐防火间距的规定。液氧储罐与其泵房的间距不宜小于3m。总容积小于或等于3m3的液氧储罐与其使用建筑的防火间距应符合下列规定：当设置在独立的一、二级耐火等级的专用建筑物内时，其防火间距不应小于10m；
GB50016-2014(2018年版),4.3.4-2,液氧储罐与建筑物、储罐、堆场等的防火间距应符合本规范第4.3.3条相应容积湿式氧气储罐防火间距的规定。液氧储罐与其泵房的间距不宜小于3m。总容积小于或等于3m3的液氧储罐与其使用建筑的防火间距应符合下列规定：当设置在独立的一、二级耐火等级的专用建筑物内，且面向使用建筑物一侧采用无门窗洞口的防火墙隔开时，其防火间距不限；
GB50016-2014(2018年版),4.3.4-3,液氧储罐与建筑物、储罐、堆场等的防火间距应符合本规范第4.3.3条相应容积湿式氧气储罐防火间距的规定。液氧储罐与其泵房的间距不宜小于3m。总容积小于或等于3m3的液氧储罐与其使用建筑的防火间距应符合下列规定：当低温储存的液氧储罐采取了防火措施时，其防火间距不应小于5m。
GB50016-2014(2018年版),4.3.4-1),医疗卫生机构中的医用液氧储罐气源站的液氧储罐应符合下列规定：单罐容积不应大于5m3，总容积不宜大于20m3，
GB50016-2014(2018年版),4.3.4-2),医疗卫生机构中的医用液氧储罐气源站的液氧储罐应符合下列规定：相邻储罐之间的距离不应小于最大储罐直径的0.75倍；
GB50016-2014(2018年版),4.3.4-3),医疗卫生机构中的医用液氧储罐气源站的液氧储罐应符合下列规定：医用液氧储罐与医疗卫生机构外建筑的防火间距应符合本规范第4.3.3条的规定，与医疗卫生机构内建筑的防火间距应符合现行国家标准《医用气体工程技术规范》GB?50751的规定。
GB50016-2014(2018年版),4.3.5,?液氧储罐周围5m范围内不应有可燃物和沥青路面。
GB50016-2014(2018年版),4.3.7,液氢、液氨储罐与建筑物、储罐、堆场等的防火间距可按本规范第4.4.1条相应容积液化石油气储罐防火间距的规定减少25％确定。
GB50016-2014(2018年版),4.4.2,液化石油气储罐之间的防火间距不应小于相邻较大罐的直径。数个储罐的总容积大于3000m3时，应分组布置，组内储罐宜采用单排布置。组与组相邻储罐之间的防火间距不应小于20m。
GB50016-2014(2018年版),4.4.3,液化石油气储罐与所属泵房的防火间距不应小于15m。当泵房面向储罐一侧的外墙采用无门、窗、洞口的防火墙时，防火间距可减至6m。液化石油气泵露天设置在储罐区内时，储罐与泵的防火间距不限。
GB50016-2014(2018年版),4.4.4,全冷冻式液化石油气储罐、液化石油气气化站、混气站的储罐与周围建筑的防火间距，应符合现行国家标准《城镇燃气设计规范》GB?50028的规定。工业企业内总容积不大于10m3的液化石油气气化站、混气站的储罐，当设置在专用的独立建筑内时，建筑外墙与相邻厂房及其附属设备的防火间距可按甲类厂房有关防火间距的规定确定。当露天设置时，与建筑物、储罐、堆场等的防火间距应符合现行国家标准《城镇燃气设计规范》GB?50028的规定。
GB50016-2014(2018年版),4.4.6,Ⅰ级瓶装液化石油气供应站的四周宜设置不燃性实体围墙，但面向出入口一侧可设置不燃性非实体围墙。Ⅱ级瓶装液化石油气供应站的四周宜设置不燃性实体围墙，或下部实体部分高度不低于0.6m的围墙。
GB50016-2014(2018年版),4.5.2,露天、半露天可燃材料堆场与甲、乙、丙类液体储罐的防火间距，不应小于本规范表4.2.1和表4.5.1中相应储量堆场与四级耐火等级建筑物防火间距的较大值。
GB50016-2014(2018年版),5.1.3-1,民用建筑的耐火等级应根据其建筑高度、使用功能、重要性和火灾扑救难度等确定，并应符合下列规定：地下或半地下建筑(室)和一类高层建筑的耐火等级不应低于一级；
GB50016-2014(2018年版),5.1.3-2,民用建筑的耐火等级应根据其建筑高度、使用功能、重要性和火灾扑救难度等确定，并应符合下列规定：单、多层重要公共建筑和二类高层建筑的耐火等级不应低于二级。
GB50016-2014(2018年版),5.1.3A,除木结构建筑外，老年人照料设施的耐火等级不应低于三级。
GB50016-2014(2018年版),5.1.4,建筑高度大于100m的民用建筑，其楼板的耐火极限不应低于2.00h。一、二级耐火等级建筑的上人平屋顶，其屋面板的耐火极限分别不应低于1.50h和1.00h。
