index,title,year,authors,venue,doi,url,pdf_url,local_pdf,download_status,citation_count,relevance_score,source_query,abstract,notes
11,Automated code compliance checking research based on BIM and knowledge graph,2023,Junlong Peng; Xiangjun Liu,Scientific Reports,10.1038/s41598-023-34342-1,https://openalex.org/W4367598027,https://www.nature.com/articles/s41598-023-34342-1.pdf,pdfs/11_2023_Automated_code_compliance_checking_research_based_on_BIM_and_knowledge_graph.pdf,downloaded_open_access_pdf,53,58,automated compliance checking BIM building code,"Abstract Automated code compliance checking plays an important role in moving the construction industry forward. While traditional drawing review relies on the identification of industry experts, the purpose of this study is to realize automatic code review by using BIM technology and knowledge graph technology. The method is based on knowledge graph to transform the specification provisions involved in the review of drawings into a computer-recognizable structured language using natural language processing technology to form a human–machine-readable knowledge graph pattern. For the review of BIM models, the BIM model information is exported and the global resource description framework of the building model is obtained in protégé, and the review report is finally obtained after mapping rules and review rules. Finally, the feasibility of the method is verified by an example. This study can effectively solve the problems of “manual dependency” and “inefficiency” in the process of review.",
12,"The Data Representations of a Building Project: BIM Model, and IFC or IFCXML Data Standard",2022,Murat Aydın,IntechOpen eBooks,10.5772/intechopen.104580,https://openalex.org/W4225309775,,,no_open_access_pdf_advertised,5,58,automated code compliance checking building regulations BIM,"Building regulations in the construction industry are legal documents written in human language. These are interpreted and implemented by people and generally controlled by local governments. Traditional building regulation control and supervision methods emerge as a time-consuming and error-prone process for architects, engineers, and public authorities. Therefore, BIM\'s effective building regulation control is considered a promising field of study in the construction industry. Automated Code Compliance Checking (ACCC) method is a rule-based method that provides simultaneous control of the computer’s building regulations. ACCC takes into account the characteristics of the building elements and related building regulations. BIM is recognized as the most effective platform for information exchange of building projects in the construction industry. It supports the development of various software. It facilitates automated or semi-automated ACCC of the building projects for compliance with building regulations and standards for the participants involved in the building production process. The data of the building project are represented in two ways in the ACCC. These are BIM Model, and IFC or IFCXML Data Standard. In this study, the BIM, IFC, and IFCXML representations of the building project data were explained over the sample housing project in the ACCC process.",
13,A Design for Safety (DFS) Semantic Framework Development Based on Natural Language Processing (NLP) for Automated Compliance Checking Using BIM: The Case of China,2022,Yilun Zhou; Jianjun She; Yixuan Huang; Lingzhi Li; Lei Zhang; Jiashu Zhang,Buildings,10.3390/buildings12060780,https://openalex.org/W4281725215,https://www.mdpi.com/2075-5309/12/6/780/pdf?version=1654598989,,download_failed: HTTPError: HTTP Error 403: Forbidden,38,56,automated compliance checking BIM building code,"For design for safety (DFS), automated compliance checking methods have received extensive attention. Although many research efforts have indicated the potential of BIM and ontology for automated compliance checking, an efficient methodology is still required for the interoperability and semantic representation of data from different sources. Therefore, a natural language processing (NLP)-based semantic framework is proposed in this paper, which implements rules-based automated compliance checking for building information modeling (BIM) at the design stage. Semantic-rich information can be extracted from safety regulations by NLP methods, which were analyzed to generate conceptual classes and individuals of ontology and provide a corpus basis for rule classification. The data on BIM was extracted from Revit to a spreadsheet using the Dynamo tool and then mapped to the ontology using the Cellfie tool. The interoperability of different source data was well improved through the isomorphism of information in the framework of semantic integration, causing data processed by the semantic web rule language to be transformed from safety regulations to achieve the purpose that automated compliance checking is implemented in the design documents. The practicability and scientific feasibility of the proposed framework was verified through a 95.21% recall and a 90.63% precision in compliance checking of a case study in China. Compared with traditional compliance checking methods, the proposed framework had high efficiency, response speed, data interoperability, and interaction.",
14,A Semantic Approach for Automated Rule Compliance Checking in Construction Industry,2021,Dongming Guo; Erling Onstein; Angela Daniela La Rosa,IEEE Access,10.1109/access.2021.3108226,https://openalex.org/W3197037074,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09523738.pdf,,download_failed: HTTPError: HTTP Error 404: Not Found,70,55,automated compliance checking BIM building code,"Automated Compliance Checking (ACC) of building/construction projects is one of important applications in Architecture, Engineering and Construction (AEC) industry, because it provides the checking processes and results of whether a building design complies with relevant laws, policies and regulations. Currently, Automated Compliance Checking still involves lots of manual operations, massive time and cost consumption. Additionally, some sub-tasks of ACC have been researched, while few studies can automatically implement the whole ACC process. To solve related issues, we proposed a semantic approach to implement the whole ACC process as automatically as possible, in which Natural Language Processing (NLP) is used to extract rule terms and logic relationships among these terms from text regulatory documents. Rule terms are mapped to keywords (concepts or properties) in BIM data through term matching and semantic similarity analysis. After that, according to the mapped keywords in BIM and logic relationships among keywords, a corresponding SPARQL query is automatically generated. The query results can be non-compliance or compliance with rules based on the generated SPARQL query and requirements of stakeholders. The cases study proves the proposed approach can provide the flexible and effective rule checking for BIM data. In addition, based on the proposed approach, we also further develop a semantic framework to implement automated rule compliance checking in construction industry.",
15,"Object-centred automated compliance checking: a novel, bottom-up approach",2022,Omar Doukari; David Greenwood; Kay Rogage; Mohamad Kassem,Journal of Information Technology in Construction,10.36680/j.itcon.2022.017,https://openalex.org/W4224309569,http://www.itcon.org/papers/2022_17-ITcon-Doukari.pdf,pdfs/15_2022_Object-centred_automated_compliance_checking__a_novel__bottom-up_approach.pdf,downloaded_open_access_pdf,18,55,automated compliance checking BIM building code,"Building Information Modelling (BIM) is changing how built assets are delivered and operated. A built asset is represented as a set of objects, each with an identity, attributes, and relations. This object-oriented nature enables new approaches for ensuring compliance with a range of requirements: e.g. industry guidelines; pro-ject and client-specific requirements; and building codes and standards. Furthermore, bottom-up design ap-proaches are known to be more suitable for quality control and design errors detection. Based on an adapted version of simulated annealing concept, this paper proposes an automated compliance checking classification and identifies a set of desired characteristics these methods should fulfil. It then demonstrates a bottom-up object-centred approach for automated model checking and the corresponding plugin prototype. The approach and the prototype enable four key processes and satisfy all desired characteristics of compliance checking methods including content validation, model completeness, smart object, and design option checking. To demonstrate the feasibility and accuracy of the approach, two case studies are processed using existing BIM objects libraries one of which is created by a major French manufacturer. All four steps were successfully completed, and the results show savings of around 125 minutes per object between the automated approach and traditional manual methods of working.",
16,Neural Semantic Parsing of Building Regulations for Compliance Checking,2022,S Fuchs; Michael Witbrock; Johannes Dimyadi; Robert Amor,IOP Conference Series Earth and Environmental Science,10.1088/1755-1315/1101/9/092022,https://openalex.org/W4311169492,https://iopscience.iop.org/article/10.1088/1755-1315/1101/9/092022/pdf,,not_a_pdf: content-type=text/html; charset=utf-8,12,55,natural language processing building regulations automated compliance checking,"Abstract Computerising building regulations to allow reasoning is one of the main challenges in automated compliance checking in the built environment. While there has been a long history of translating regulations manually, in recent years, natural language processing (NLP) has been used to support or automate this task. While rule- and ontology-based information extraction and transformation approaches have achieved accurate translations for narrow domains and specific regulation types, machine learning (ML) promises increased scalability and adaptability to new regulation styles. Since ML usually requires many annotated examples as training data, we take advantage of the long history of building code computerisation and use a corpus of manually translated regulations to train a transformer-based encoder-decoder model. Given a relatively small corpus, the model learns to predict the logical structure and extracts entities and relations reasonably well. While the translation quality is not adequate to fully automate the process, the model shows the potential to serve as an auto-completion system and to identify manually translated regulations that need to be reviewed.",
17,Integrating building and context information for automated zoning code checking: a review,2022,Mustafa Emre İlal; Mustafa Emre İlal,Journal of Information Technology in Construction,10.36680/j.itcon.2022.027,https://openalex.org/W4281296798,http://www.itcon.org/papers/2022_27-ITcon-Demir_Altintas.pdf,pdfs/17_2022_Integrating_building_and_context_information_for_automated_zoning_code_checking__a_review.pdf,downloaded_open_access_pdf,11,55,automated compliance checking BIM building code,"Interoperability approaches have attracted much attention in the AEC/FM industry with the increased interest in Building Information Modeling (BIM) studies since 2000’s. Especially, the integration of BIM with GIS is crucial for areas, which need detailed information on buildings and their surroundings. Automated code compliance checking against zoning codes is an area that requires both zoning data and building design data. In an ideal automated zoning code checking process, building codes should be retrieved from the responsible authority, data regarding the neighborhood the project is located in should be retrieved directly from the local municipality’s GIS, and the building project should be supplied by the designer as a BIM file. The checking process should be able to work with a combination of GIS and BIM data and generate a compliance report. Although recent BIM-GIS integration efforts have been successful in some areas, BIM-GIS integration studies in the context of automated zoning code compliance checking are limited, and the data interoperability problem in this field still needs to be addressed. This paper intends to (1) provide a critical review and analysis of the current BIM and GIS integration studies for building permit processes, (2) present the opportunities that the implementation of integrating BIM and GIS might bring to the automated zoning compliance checking domain and (3) identify promising integration approaches for future efforts.",
18,Automated code compliance checking through building information modelling,2023,Bilal Aslam; Tariq Umar,Proceedings of the Institution of Civil Engineers - Structures and Buildings,10.1680/jstbu.22.00214,https://openalex.org/W4384030830,,,no_open_access_pdf_advertised,7,54,automated compliance checking BIM building code,"The design, construction and handing over of building projects need to comply with the rules set by the local authorities. However, manual assessment of the drawings and plans against variable and complex sets of rules is quite cumbersome, inconsistent, expensive and prone to human error, resulting in huge delays in construction projects. The aim of this research was thus to develop an automated code compliance (ACC) checking process using building information modelling (BIM). The drawbacks of manual code compliance were assessed through a review of the existing system. These were confirmed by 15 interviews with officials of the Capital Development Authority (CDA) in Pakistan. Feedback on the newly developed ACC system with BIM integration was sought through 30 interviews with customers and CDA employees. While the new programme of the code compliance reduced the time involved from 1 week to 6 h, customers were concerned about the additional expense of engaging an architect to develop a complete set of BIM models. ACC and BIM integration in local municipalities should raise the profile of Pakistan in industry innovations and pave the way to meeting several United Nations Sustainable Development Goals.",
19,Semantic Representation Learning and Information Integration of BIM and Regulations,2022,Ruichuan Zhang; Nora El-Gohary,Computing in Civil Engineering 2021,10.1061/9780784483893.058,https://openalex.org/W4281393116,,,no_open_access_pdf_advertised,4,54,automated code compliance checking building regulations BIM,"Automated checking of the compliance of building information modeling (BIM)-based building designs with relevant codes and regulations requires bridging the semantic gap between the Industry Foundation Classes (IFC) schema and the natural language. In most of the existing automated compliance checking (ACC) systems, the integration of the IFC schema and natural language is realized through hardcoding or predefined rules, ontologies, or dictionaries. These methods require intensive manual engineering effort and are often rigid and difficult to generalize. There is, thus, a need for an automated and meanwhile flexible and generalizable information integration method. To address this need, this paper leverages transformer-based language models to learn the semantic representations of concepts in the building information models (BIMs) and regulatory documents. An automated IFC-regulatory information integration approach based on these learned semantic representations is proposed. The preliminary experimental results show that the proposed approach achieved promising performance—an accuracy of 80%—on integrating IFC and regulatory concepts.",
20,Automated Rule-Based Code Compliance Checking of Excavation Safety Using Building Information Modelling (BIM),2025,M. Uttara Kumari; Wasee Jan; M. D. Deepak; Sagar Malsane,Lecture notes in civil engineering,10.1007/978-981-97-7206-3_21,https://openalex.org/W4409254107,,,no_open_access_pdf_advertised,1,54,automated compliance checking BIM building code,,
